name,year,url
小脑连续性θ爆发式刺激干预卒中后失语症的疗效及基于功能连接的神经重塑机制探索,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbP80R7_DzH15RYfysPvsdAHuals_-49kVqB_UlnwNN-HrXL28KoZPqd9m4_GC8oyC4_di7bCwFkRHS6-uROQElOJqchy3J9VYfTFfo8ZFfYuANjEKgZ3B8m_xfXlGRwBNlnGV014l3zl49BKHMv4vkSERP3_mXICeumgHA7zIecLd3WOAOncqof&uniplatform=NZKPT&language=CHS
不同靶点重复经颅磁刺激对脑卒中后失语症患者语言康复的对比研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPM4hoZLqI0_GP8QiCgfVoP4NnWagYLz8W0OLFIIPUl8Qf-Kme1C4LYAfb3jjIAgd-oEvUBMXzCMqGYssw2SEIpxAa2syydx6eVLS1Lw71fHJbcVoUq_gO_GlV9XEdau-su1QYkefqpt899mzWw2l2iLbaFRE3lc89riWQSUQ52Ul5QticgYlKe&uniplatform=NZKPT&language=CHS
基于功能影像的基底节失语靶向干预评估及机制分析,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPM4hoZLqI0_GP8QiCgfVoP4NnWagYLz8W0OLFIIPUl8eJ5UkRqTtFR8mQFVKwEwor9o868vD5yJ5ZOdp8-ZrgUozSFOq06djClhw4MwrTzcNFXSOUH7RFQGjnBMCETqTRQ_PBQ46Ibn9xji2Jyp1KXMP4gBYeHvYsrHJd6cXTHgGc8hOOxyXCU&uniplatform=NZKPT&language=CHS
基于卒中后基底节失语的白质纤维改变及靶向干预研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPU2N3rwM5nC5kNLATb0YoPgAHgejkmnoA_RYi8HgNaH24EndmZNQlhGwQCbvXg4hKJysricD0Q0TzL0RpOR-uCBMGN-b56-SfepMZv0WfnZaVrTcd6mc045dzkMav77Ppdq8crmjP4yj5Fyz99GENx3_3qGu8eldACII9lxI7UJVebhnQJQ7TZ&uniplatform=NZKPT&language=CHS
失语症女性的沟通技巧与护理方法,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPU2N3rwM5nC5kNLATb0YoPX-km0DuPr098_ykFs-vAeRkMsdVDZT4HoUjWwUDKaHCEfpEb0Paap9EL_tKBfIxyeqrf5J-U-ptxg1FhCrcJKCvIeuIje5brhcBITH77l-Aw5WZO3GbkIeofQqKUrkpp5xFtIN_Kz5BKbsjJPICD5w==&uniplatform=NZKPT&language=CHS
脑功能网络分析在失语症诊疗中的应用：病理机制分析、临床诊断与疗效评价,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPU2N3rwM5nC5kNLATb0YoPwVKXlbdfCOyTYVj3B0cACqOS_UCqrZtUa39E6Ia_s0aHFlKZN3m0pwIR4zjaSyEXdrXLkvfhlSrZ8lV-hjsyYZDlh__z9lz1vQ8ZrjMeumy43nWTwB_fHMDpafUh4XrLf8WHj8hkt_7MUZGZDr3kDA==&uniplatform=NZKPT&language=CHS
虚拟康复训练联合语言训练治疗脑卒中后失语症的疗效,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbMTRC2c8rG8VL4v_ztq7o1uGvSyIs4ILmQbX2wefD_NowPAKBxMp450ayMPBKT3NsVdN6VPg-JY88hh59Kp_7dmBin2kTBtQoErz-LPJWTZc08yO2cZg12ac9U61GdAC40zbw0e7oUlqhEMnVESxKbdmhJmFF8gMoYbvK8eGOXU3g==&uniplatform=NZKPT&language=CHS
脑机接口的相关语言问题,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbMTRC2c8rG8VL4v_ztq7o1u4jOHtntpLC5FgpmsGp3qU6kIZGuaiJmDT9OC5eg8ihcjo_GS0B0ksqEIgkpFirlwkZG4teVGBBeOh3N6ClaoOwXIx-2hKT6fnd3OQxslFMVKRj3imUUgQ3VhXv0hGFwLHyImoMqR1kMvN9Iv5GNPJA==&uniplatform=NZKPT&language=CHS
人工智能在失语症诊治中的应用现状,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbM_TQeiKSvF0DXM7SumsYAIPv_JYJDClg8iDnJuFFoKdGBqEwmq4g9oZJs0PQIHQt_n_M6UuKDuMG-3CItW-e7MPKIJ3YKYn-kd-I09-UWcw70yBZpWW2VQO1z9ihgDF1_VkzkoSgVq_ODvK1kWHAMREYjp8NXBSD8YJDA9pdmQXA==&uniplatform=NZKPT&language=CHS
阿替普酶联合醒脑开窍针刺法治疗中风失语症的临床效果,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbM_TQeiKSvF0DXM7SumsYAIPv_JYJDClg-SV9ZYwlZLGuPI9mHBL1LqCvc2hFQVRkIdBcZg4uOZbPa7NSfYgzzqI_HUaGPFzMcv8OIGtequ75yQB9Awi6xgd4Odk8LKqSdSvpwoVkIYOXHgsYfZ1GrzfBzQzBfGQeW0iBM3YjabUA==&uniplatform=NZKPT&language=CHS
自然语言处理在失语症康复中的应用研究进展,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPvAg02fUYowS41lY802YJNB1V59b8XelHThO7V8slLTjwej0uN2o4LSl7R0fK4LhyQbSgpxMEYJji5V8-XCqSDYeHJi7L9YqOkysznS-HOJGabiSf9yLOVydtbMDUSTQzxxhTJBWylUtuouJx12oMlt99ylxRwAxvvIUhyn06MSA==&uniplatform=NZKPT&language=CHS
言语和认知训练应用于失语症领域的文献计量学分析,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPvAg02fUYowS41lY802YJNB1V59b8XelHc5Lt1HuoPy6TuY9ZwuWSP9p_hZH7GQWyAcbw7Kru3LBSRoleFcm7tkhBPU39-DbMxe5Brp7_OKsZDgq16L0K1Bj-IYvGa1kKBhCJLQMiIAwSgr5M03mXS3Y-JjIbL5Mbjw-eSo5ixGQ==&uniplatform=NZKPT&language=CHS
失语症人群家庭会话和康复会话中的纠错序列研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbME27EDLPYuJGK6ngnGD84iR5NeJebMSP74I21BlpwQ8n_aQezasb3h5fX24JApFjxbThC2UdBVI8_tZ97i3jQwGpt5T0fmbkhzsC_w1nOD8QZRt28BaItpxhDRSgkyFKwE2JikeaO17aGcoZJfnWykK2ztpsDzvYp1C7UnFQX67Q==&uniplatform=NZKPT&language=CHS
浮针联合综合康复训练治疗气虚血瘀型脑卒中后失语症临床观察,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbME27EDLPYuJGK6ngnGD84iR5NeJebMSP62GFJD4s-9oNwSsSO2TaYIcOe1EfGRNbvRbvm8Hbs1HURScp1MN8ZQXiLBD8TqeW4STaI8FMCm5Hf-EO1MaVTcvYUD1H1ak6lEj3kc2PdYN4nB71o6YkaCX08aAG4i0Afqx9ZCYmKB3Q==&uniplatform=NZKPT&language=CHS
重复经颅磁刺激联合Schuell法语言训练治疗对脑梗死后失语症患者语言功能的影响,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPf9hpMBZxwCFRSISmhZNua_vdOxAcfDziAsLmWLrt5W2b6oGJRfTDCWWo15z8C0qLW1uDCqaI8WQx8OEZwEzupkU3gAAHKYYrBg7AHU37mrXxLgpDtS5OGQKcRD0UP5AV4G0KjCdP1nLqWtCo2AhDRi6oPjs3u9t88yU_VtpejHA==&uniplatform=NZKPT&language=CHS
连续Theta爆发式经颅磁刺激多靶点治疗卒中后失语的疗效观察,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPf9hpMBZxwCFRSISmhZNua5lhcvNWhhc0d-xMT49C6T0vImwdRQeA_7q-tQ-0jL9N-jxt3q3xbJCXPmErf2csl3IcAmfbccjlpO_vnUDlAWpkWxnNL5VgyPPV7D-iREdd_303ATI-1b4REbj72rPI6F49OZd41ln-xS42IGusk-LArWLj1--qv&uniplatform=NZKPT&language=CHS
